identifier;libelle
00;Commune hors aire urbaine
01;Commune appartenant à une aire urbaine de moins de 15 000 habitants
02;Commune appartenant à une aire urbaine de 15 000 à 19 999 habitants
03;Commune appartenant à une aire urbaine de 20 000 à 24 999 habitants
04;Commune appartenant à une aire urbaine de 25 000 à 34 999 habitants
05;Commune appartenant à une aire urbaine de 35 000 à 49 999 habitants
06;Commune appartenant à une aire urbaine de 50 000 à 99 999 habitants
07;Commune appartenant à une aire urbaine de 100 000 à 199 999 habitants
08;Commune appartenant à une aire urbaine de 200 000 à 499 999 habitants
09;Commune appartenant à une aire urbaine de 500 000 à 9 999 999 habitants
10;Commune appartenant à l'aire urbaine de Paris
