identifier;libelle
01;Commune rurale de moins de 50 habitants
02;Commune rurale de 50 à 99 habitants
03;Commune rurale de 100 à 199 habitants
04;Commune rurale de 200 à 499 habitants
05;Commune rurale de 500 à 999 habitants
06;Commune rurale de 1 000 à 1 999 habitants
07;Commune rurale de 2 000 habitants ou plus
11;Commune appartenant à une unité urbaine de moins de 2 500 habitants
12;Commune appartenant à une unité urbaine de 2 500 à 2 999 habitants
13;Commune appartenant à une unité urbaine de 3 000 à 3 999 habitants
14;Commune appartenant à une unité urbaine de 4 000 à 4 999 habitants
21;Commune appartenant à une unité urbaine de 5 000 à 6 999 habitants
22;Commune appartenant à une unité urbaine de 7 000 à 9 999 habitants
31;Commune appartenant à une unité urbaine de 10 000 à 14 999 habitants
32;Commune appartenant à une unité urbaine de 15 000 à 19 999 habitants
41;Commune appartenant à une unité urbaine de 20 000 à 24 999 habitants
42;Commune appartenant à une unité urbaine de 25 000 à 29 999 habitants
43;Commune appartenant à une unité urbaine de 30 000 à 39 999 habitants
44;Commune appartenant à une unité urbaine de 40 000 à 49 999 habitants
51;Commune appartenant à une unité urbaine de 50 000 à 69 999 habitants
52;Commune appartenant à une unité urbaine de 70 000 à 99 999 habitants
61;Commune appartenant à une unité urbaine de 100 000 à 149 999 habitants
62;Commune appartenant à une unité urbaine de 150 000 à 199 999 habitants
71;Commune appartenant à une unité urbaine de 200 000 à 299 999 habitants
72;Commune appartenant à une unité urbaine de 300 000 à 499 999 habitants
73;Commune appartenant à une unité urbaine de 500 000 à 1 999 999 habitants
80;Commune appartenant à l'unité urbaine de Paris
