Nom de la gare;Code UIC complet;Code postal;Segmentation DRG 2018;Total Voyageurs 2018;Total Voyageurs + Non voyageurs 2018;Total Voyageurs 2017;Total Voyageurs + Non voyageurs 2017;Total Voyageurs 2016;Total Voyageurs + Non voyageurs 2016;Total Voyageurs 2015;Total Voyageurs + Non voyageurs 2015
Achères Ville;87381657;78260;b;3478859;3478859;3497615;3497615;3454567;3454567.61476;3389509;3389509
Aigueperse;87734129;63260;c;70745;70745;77218;77218;78088;78088.548968;75873;75873
Aigues-Mortes;87775858;30220;c;5311;5311;4822;4822;3546;3546.21122;3917;3917
Aiserey;87713636;21110;c;24241;24241;25375;25375;24134;24134.894286;26267;26267
Albi;87615005;81000;b;368147;460184;432819;541024;392651;490814.2075;412872;516090
Albigny - Neuville;87721266;69250;b;229444;286806;246020;307525;231790;289737.876352;239630;299538
Alençon;87444711;61000;b;370206;462758;408691;510863;393130;491412.549465;434601;543251
Allée de la Tour Rendez-Vous;87113878;93320;b;643913;643913;668143;668143;681158;681158.267449;690917;690917
Altkirch;87182238;68130;b;303746;379683;310531;388164;286839;358549.940248;284515;355644
Andelot;87715102;39320;c;4050;4050;6806;6806;9288;9288.3433;9918;9918
Annemasse;87745497;74100;b;618090;772613;793906;992382;767099;958873.84092;781951;977439
Anstaing;87287219;59152;c;0;0;0;0;5;5.0;2;2
Anzeling;87191387;57320;c;1191;1191;744;744;657;657.598166;791;791
Arbanats;87582726;33640;c;42489;42489;40409;40409;38450;38450.947832;40206;40206
Arbois;87718155;39600;c;44352;44352;50131;50131;42298;42298.047462;50090;50090
Arnèke;87281121;59285;b;120466;150582;126380;157975;124209;155262.06863;117986;147483
Arrou;87394486;28290;c;7113;7113;7322;7322;6770;6770.304342;6001;6001
Assat;87672162;64510;c;151;151;168;168;461;461.4;236;236
Athis-Mons;87545251;91200;b;1691590;1691590;1687816;1687816;1709096;1709096.15839;1661728;1661728
Aubie - Saint-Antoine;87491233;33240;c;30075;30075;25566;25566;19924;19924.565702;16770;16770
Aubigny-en-Artois;87342246;62690;c;48982;48982;58250;58250;60607;60607.340732;63351;63351
Aubin;87613224;12110;c;5550;5550;5790;5790;5577;5577.821236;6528;6528
Aubin-Saint-Vaast;87316604;62140;c;83;83;3;3;32;32.0;46;46
Auchy-lès-Hesdin;87317230;62770;c;1414;1414;5041;5041;7936;7936.63023;9640;9640
Audrieu;87444059;14250;c;14323;14323;16234;16234;16471;16471.85892;16984;16984
Aulnay-sous-Bois;87271411;93600;b;25200039;25200039;25205132;25205132;24497746;24497746.084;23829397;23829397
Aulnoye-Aymeries;87295600;59620;b;597836;747296;614240;767801;580610;725763.556842;604945;756182
Aumale;87313767;76390;c;1693;1693;2295;2295;1727;1727.3;1926;1926
Aurillac;87645002;15000;b;136951;171189;154733;193417;143170;178963.640228;160641;200801
Avallon;87683789;89200;c;36833;36833;41444;41444;36096;36096.457142;39727;39727
Avenue du Président Kennedy Maison de Radio France;87543207;75016;b;1776073;1776073;1836151;1836151;299696;299696.347335;302743;302743
Avignonet;87616011;31290;c;17746;17746;26703;26703;26652;26652.192288;28211;28211
Babinière;87590349;44240;c;93097;93097;114818;114818;107295;107295.68244;96983;96983
Bagnac;87613604;46270;c;3358;3358;4727;4727;4038;4038.9;4367;4367
Bailleau-le-pin;87394411;28120;c;76427;76427;74398;74398;75577;75577.54198;77159;77159
Bailleul-Sir-Berthoult;87342592;62580;c;687;687;951;951;1628;1628.445906;1035;1035
Banyuls-sur-Mer;87784298;66650;c;64538;64538;80181;80181;71187;71187.199702;73499;73499
Barsac;87582759;33720;c;17065;17065;20850;20850;21672;21672.76852;23455;23455
Base Aérienne;87699223;41200;c;0;0;0;0;0;0.0;0;0
