Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","1961","1961","tonnes","55032","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","1962","1962","tonnes","37190","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","1963","1963","tonnes","53252","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","1964","1964","tonnes","28681","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","1965","1965","tonnes","28943","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","1966","1966","tonnes","38378","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","1967","1967","tonnes","51828","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","1968","1968","tonnes","45645","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","1969","1969","tonnes","68241","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","1970","1970","tonnes","57618","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","1971","1971","tonnes","81355","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","1972","1972","tonnes","74908","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","1973","1973","tonnes","99260","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","1974","1974","tonnes","101653","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","1975","1975","tonnes","97998","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","1976","1976","tonnes","87474","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","1977","1977","tonnes","89564","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","1978","1978","tonnes","102780","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","1979","1979","tonnes","108347","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","1980","1980","tonnes","111548","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","1981","1981","tonnes","113714","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","1982","1982","tonnes","135784","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","1983","1983","tonnes","116207","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","1984","1984","tonnes","140823","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","1985","1985","tonnes","150825","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","1986","1986","tonnes","177124","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","1987","1987","tonnes","177859","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","1988","1988","tonnes","194937","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","1989","1989","tonnes","207802","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","1990","1990","tonnes","226141","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","1991","1991","tonnes","238893","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","1992","1992","tonnes","181648","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","1993","1993","tonnes","133571","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","1994","1994","tonnes","131431","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","1995","1995","tonnes","134982","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","1996","1996","tonnes","164976","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","1997","1997","tonnes","183343","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","1998","1998","tonnes","330009","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","1999","1999","tonnes","378728","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","2000","2000","tonnes","377967","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","2001","2001","tonnes","371361","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","2002","2002","tonnes","362290","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","2003","2003","tonnes","334080","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","2004","2004","tonnes","279767","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","2005","2005","tonnes","351612","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","2006","2006","tonnes","342568","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","2007","2007","tonnes","345749","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","2008","2008","tonnes","393141","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","2009","2009","tonnes","370805","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","2010","2010","tonnes","399898","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","2011","2011","tonnes","384773","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","2012","2012","tonnes","386680","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","2013","2013","tonnes","419564","","Donnée officielle"
"QC","Cultures","202","Afrique du Sud","5510","Production","486","Bananes","2014","2014","tonnes","456952","","Donnée officielle"
